ip,port,vulnerability_count
10.31.112.21,0,11
10.31.112.23,0,11
10.31.112.22,0,11
10.31.112.25,0,11
10.31.112.24,0,11
10.31.112.26,0,11
10.31.112.29,0,11
10.31.112.29,3389,7
10.31.112.25,445,7
10.31.112.22,445,7
10.31.112.24,445,7
10.31.112.21,3389,7
10.31.112.21,445,7
10.31.112.23,445,7
10.31.112.26,445,7
10.31.112.29,445,7
10.31.112.23,80,6
10.31.112.24,80,6
10.31.112.26,80,6
10.31.112.24,3389,6
10.31.112.25,3389,6
10.31.112.23,3389,6
10.31.112.22,3389,6
10.31.112.21,80,6
10.31.112.25,80,6
10.31.112.26,3389,6
10.31.112.29,80,6
10.31.112.22,80,5
10.31.112.22,10002,3
10.31.112.21,135,2
10.31.112.21,139,2
10.31.112.22,139,2
10.31.112.25,139,2
10.31.112.29,139,2
10.31.112.29,135,2
10.31.112.26,135,2
10.31.112.26,139,2
10.31.112.24,139,2
10.31.112.24,135,2
10.31.112.23,139,2
10.31.112.25,135,2
10.31.112.23,135,2
10.31.112.22,7001,2
10.31.112.22,135,2
10.31.112.21,49174,1
10.31.112.22,49188,1
10.31.112.22,49154,1
10.31.112.22,49155,1
10.31.112.22,49156,1
10.31.112.22,49153,1
10.31.112.22,49152,1
10.31.112.22,137,1
10.31.112.21,49176,1
10.31.112.21,49154,1
10.31.112.21,137,1
10.31.112.21,49153,1
10.31.112.21,49152,1
10.31.112.21,49175,1
10.31.112.24,137,1
10.31.112.23,49252,1
10.31.112.23,49176,1
10.31.112.25,49152,1
10.31.112.25,137,1
10.31.112.24,49152,1
10.31.112.24,49153,1
10.31.112.24,49154,1
10.31.112.24,49176,1
10.31.112.24,49251,1
10.31.112.24,49252,1
10.31.112.23,49154,1
10.31.112.23,49153,1
10.31.112.23,49152,1
10.31.112.23,137,1
10.31.112.23,49253,1
10.31.112.25,49253,1
10.31.112.25,49252,1
10.31.112.25,49153,1
10.31.112.26,49177,1
10.31.112.26,49154,1
10.31.112.26,49153,1
10.31.112.26,49152,1
10.31.112.26,137,1
10.31.112.25,49177,1
10.31.112.25,49154,1
10.31.112.26,49254,1
10.31.112.29,137,1
10.31.112.26,49253,1
10.31.112.29,49153,1
10.31.112.29,49152,1
10.31.112.29,49154,1
10.31.112.29,49173,1
10.31.112.29,49174,1
10.31.112.29,49175,1
